op,OSAP,OSDI,OSLK,الإجمالي
FYC,687,3027,0,3714
SYR,463,3166,0,3629
RJA,1407,1678,0,3085
THY,733,1035,0,1768
KNE,26,1564,0,1590
ABY,137,1352,0,1489
SAW,107,1329,0,1436
FDB,88,1334,0,1422
TKJ,595,768,0,1363
QTR,142,1207,0,1349
JZR,40,900,0,940
FAD,59,514,0,573
غير معروف,60,391,52,503
DNA,59,255,0,314
ADY,48,223,0,271
IGC,108,131,0,239
PGT,177,0,0,177
RFF,0,1,148,149
TAH,61,70,0,131
MFX,0,125,0,125
UAE,0,121,0,121
KAC,0,69,0,69
AMA,0,68,0,68
QQE,0,59,0,59
ETD,0,57,0,57
NGN,20,28,0,48
MAR,0,45,0,45
SXS,44,0,0,44
HST,0,40,0,40
TTF,0,3,26,29
BFY,0,24,0,24
GAF,0,23,0,23
KGB,0,22,0,22
AWS,0,20,0,20
CHD,0,1,18,19
ESW,0,12,0,12
XRC,0,10,0,10
SDR,0,8,0,8
RSD,0,0,8,8
UNO,3,3,0,6
UZU,0,6,0,6
HVK,2,3,0,5
GBG,0,4,0,4
DWC,0,4,0,4
MEA,0,4,0,4
USY,0,3,0,3
AOJ,0,3,0,3
BRQ,0,3,0,3
PVV,0,3,0,3
RHH,0,3,0,3
SVA,0,3,0,3
SGA,0,2,0,2
CEF,0,2,0,2
MSX,0,2,0,2
HYA,0,2,0,2
IVC,0,2,0,2
TCJ,2,0,0,2
SVI,0,2,0,2
RRR,0,2,0,2
SMB,0,2,0,2
UVL,0,2,0,2
CTM,0,1,0,1
RJD,0,1,0,1
RFR,0,1,0,1
